ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Logo,Intro,Name_1_TEXT,Name_2_TEXT,Name_3_TEXT,Name_4_TEXT,Grade,Grade_TEXT,Q1,intro Q2,picture,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q35,Q33,LocationLatitude,LocationLongitude,LocationAccuracy
R_3JwUHCL9EL3h5q2,Default Response Set,Anonymous,,,65.18.70.25,0,5/22/15 9:12,5/22/15 9:19,1,1,1,84,84,W,RSU,3,,2,2,2,1,4,3,2,1,2,1,4,2,5,4,4,5,5,1,1,2,3,3,4,1,4,2,,,1,46.11540222,-67.91699982,-1
R_NW5onNjJXuUPOFz,Default Response Set,Anonymous,,,65.18.70.27,0,5/22/15 9:13,5/22/15 9:19,1,1,1,85,85,W,H,3,,4,2,4,5,1,3,4,1,2,1,2,2,1,4,4,5,3,1,1,5,4,5,4,3,1,1,,,1,46.11540222,-67.91699982,-1
R_1Nrm7Yb9VIytjni,Default Response Set,Anonymous,,,65.18.70.29,0,5/22/15 9:12,5/22/15 9:19,1,1,1,86,86,W,H,3,,4,2,1,1,5,3,4,,3,1,2,2,5,4,2,5,2,1,1,2,4,2,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_21aq0VDPpDMT19u,Default Response Set,Anonymous,,,65.18.71.142,0,5/22/15 9:12,5/22/15 9:20,1,1,1,87,87,W,H,3,,4,2,2,2,5,3,4,1,3,4,2,4,5,1,2,3,1,2,1,2,4,5,1,5,2,2,,,1,46.11540222,-67.91699982,-1
R_6nzhosDPgnBE1ax,Default Response Set,Anonymous,,,65.18.69.72,0,5/22/15 9:13,5/22/15 9:20,1,1,1,88,88,W,H,3,,1,2,1,5,1,3,4,3,3,1,4,4,5,5,2,5,2,1,5,2,4,5,1,3,4,2,,,1,46.11540222,-67.91699982,-1
R_2TBKjS8IkFcuiak,Default Response Set,Anonymous,,,65.18.70.32,0,5/22/15 9:14,5/22/15 9:20,1,1,1,89,89,W,H,3,,4,3,4,1,1,3,4,4,3,4,4,4,5,5,2,2,5,1,2,2,4,4,1,4,2,2,,,1,46.11540222,-67.91699982,-1
R_3FLQ28Y6s9QIdlQ,Default Response Set,Anonymous,,,65.18.70.13,0,5/22/15 9:12,5/22/15 9:21,1,1,1,90,90,W,H,3,,4,2,2,4,1,3,4,4,2,1,2,4,3,2,2,5,2,5,1,2,4,2,1,5,,2,,,1,46.11540222,-67.91699982,-1
R_eEv3AndTDsMZd0R,Default Response Set,Anonymous,,,65.18.69.56,0,5/22/15 9:12,5/22/15 9:21,1,1,1,91,91,W,H,3,,4,2,2,1,1,2,2,1,3,1,2,4,3,5,2,2,5,2,2,5,2,1,4,3,1,1,,,1,46.11540222,-67.91699982,-1
R_CgfDxybuJQhlojv,Default Response Set,Anonymous,,,65.18.70.21,0,5/22/15 9:12,5/22/15 9:21,1,1,1,92,92,W,H,3,,4,2,1,2,1,5,4,1,,1,5,4,3,5,2,5,2,2,1,2,4,2,1,4,2,2,,,1,46.11540222,-67.91699982,-1
R_28IJhZR4Ms8HYC7,Default Response Set,Anonymous,,,65.18.68.153,0,5/22/15 9:12,5/22/15 9:21,1,1,1,93,93,W,H,3,,4,3,2,1,1,3,4,4,2,1,2,4,5,5,2,5,2,1,1,2,4,5,1,3,2,1,,,1,46.11540222,-67.91699982,-1
R_1our4W5Fv2gweIs,Default Response Set,Anonymous,,,65.18.70.5,0,5/22/15 9:13,5/22/15 9:22,1,1,1,94,94,W,H,3,,4,2,2,4,1,3,4,4,3,1,2,3,3,2,1,5,2,2,1,2,3,3,1,2,3,2,,,1,46.11540222,-67.91699982,-1
R_3pigFfpxVRF5iNS,Default Response Set,Anonymous,,,65.18.68.11,0,5/22/15 9:12,5/22/15 9:22,1,1,1,95,95,W,H,3,,4,2,1,5,1,3,4,3,2,1,4,4,3,2,4,5,4,1,1,2,4,5,1,3,3,1,,,1,46.11540222,-67.91699982,-1
R_2wHVCg89rSJk7li,Default Response Set,Anonymous,,,65.18.68.202,0,5/22/15 9:13,5/22/15 9:22,1,1,1,96,96,W,H,3,,4,2,1,5,5,4,4,4,2,1,4,4,5,5,2,5,2,1,1,3,1,2,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_RsLXSXmEfuFFjvH,Default Response Set,Anonymous,,,65.18.68.235,0,5/22/15 9:12,5/22/15 9:22,1,1,1,97,97,W,H,3,,,2,1,4,2,3,4,4,2,1,2,4,5,5,3,5,,1,2,2,4,2,1,4,2,1,,,1,46.11540222,-67.91699982,-1
R_21But1rnbkDeFXB,Default Response Set,Anonymous,,,65.18.70.3,0,5/22/15 9:13,5/22/15 9:24,1,1,1,98,98,W,H,3,,4,2,1,4,3,3,5,1,2,1,2,2,5,5,2,5,2,1,1,5,4,2,1,5,2,2,,,1,46.11540222,-67.91699982,-1
R_3Rt4XBGcWhsedQ5,Default Response Set,Anonymous,,,65.18.68.186,0,5/22/15 9:12,5/22/15 9:24,1,1,1,99,99,W,H,3,,4,2,1,5,1,3,4,1,3,1,2,4,3,4,3,5,1,1,1,2,4,5,1,4,2,2,,,1,46.11540222,-67.91699982,-1
R_3MAlSMdbiMvUiNy,Default Response Set,Anonymous,,,65.18.70.10,0,5/22/15 9:13,5/22/15 9:24,1,1,1,100,100,W,H,3,,4,2,2,1,1,3,4,1,2,5,2,1,3,4,5,1,2,1,2,2,2,5,1,3,4,1,,,1,46.11540222,-67.91699982,-1
R_3GDQSthayVGfuaB,Default Response Set,Anonymous,,,65.18.70.6,0,5/22/15 9:12,5/22/15 9:25,1,1,1,101,101,W,H,3,,4,2,2,4,2,4,4,1,2,5,2,4,3,4,2,5,5,5,3,2,4,5,1,3,1,1,,,1,46.11540222,-67.91699982,-1
R_21mO2miN83WmR9k,Default Response Set,Anonymous,,,65.18.70.35,0,5/22/15 9:12,5/22/15 9:25,1,1,1,102,102,W,H,3,,4,2,1,2,5,5,5,1,2,1,2,2,5,2,1,5,1,1,1,2,2,5,1,3,3,1,,,1,46.11540222,-67.91699982,-1
R_2VkxsJNhR4dUNzZ,Default Response Set,Anonymous,,,65.18.71.139,0,5/22/15 9:13,5/22/15 9:26,1,1,1,103,103,W,H,3,,4,2,3,1,1,3,4,1,2,1,2,4,5,2,1,5,3,1,2,2,4,5,1,4,2,1,,,1,46.11540222,-67.91699982,-1
R_2wAyM0mB62AwTvi,Default Response Set,Anonymous,,,65.18.68.135,0,5/22/15 10:09,5/22/15 10:18,1,1,1,104,104,W,W,3,,4,2,2,5,1,3,4,1,2,2,4,4,3,2,2,3,2,1,1,2,4,3,4,3,1,1,,,1,46.11540222,-67.91699982,-1
R_2TI67KgSCzBJJZU,Default Response Set,Anonymous,,,65.18.70.23,0,5/22/15 10:09,5/22/15 10:19,1,1,1,105,105,W,J,3,,4,5,2,1,1,3,4,2,3,1,4,3,3,2,4,5,2,1,1,2,2,4,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_3CWxYWWovGgRXB9,Default Response Set,Anonymous,,,65.18.69.51,0,5/22/15 10:12,5/22/15 10:20,1,1,1,106,106,W,H,3,,4,2,1,5,5,4,4,4,2,1,4,4,3,5,2,5,5,5,1,5,4,2,1,5,1,1,,,1,46.11540222,-67.91699982,-1
R_1OVSmeEG69Zm9Rv,Default Response Set,Anonymous,,,65.18.70.30,0,5/22/15 10:11,5/22/15 10:20,1,1,1,107,107,W,H,3,,4,2,1,5,5,3,2,4,2,5,4,4,3,2,2,5,1,1,1,2,4,2,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_XYqE7BmubcPD0gF,Default Response Set,Anonymous,,,65.18.70.14,0,5/22/15 10:11,5/22/15 10:21,1,1,1,108,108,W,H,3,,4,2,1,5,5,3,4,4,2,1,4,4,5,5,2,5,2,1,1,2,4,5,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_3l7UOnUg5ddPOzX,Default Response Set,Anonymous,,,65.18.71.110,0,5/22/15 10:14,5/22/15 10:21,1,1,1,109,109,W,H,3,,4,2,2,1,1,3,4,1,5,2,1,4,3,2,2,5,4,1,2,2,1,2,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_2dzt3LdG5vT0ZV7,Default Response Set,Anonymous,,,65.18.70.0,0,5/22/15 10:11,5/22/15 10:21,1,1,1,110,110,W,H,3,,4,2,1,5,5,3,4,4,2,1,4,4,3,5,2,5,4,1,1,2,4,5,1,5,1,2,,,1,46.11540222,-67.91699982,-1
R_Xpn6vKTPfqCLrgd,Default Response Set,Anonymous,,,65.18.68.212,0,5/22/15 10:12,5/22/15 10:21,1,1,1,111,111,W,W,3,,4,2,2,1,1,3,4,1,2,1,4,3,5,2,2,2,4,1,1,2,2,5,4,5,3,1,,,1,46.11540222,-67.91699982,-1
R_1mJYFa9XHmVTjRv,Default Response Set,Anonymous,,,65.18.69.180,0,5/22/15 10:14,5/22/15 10:21,1,1,1,112,112,W,H,3,,4,2,1,5,5,4,4,1,3,1,4,4,3,2,2,5,3,5,1,2,4,2,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_3NV9Ijyz6chszfm,Default Response Set,Anonymous,,,65.18.71.132,0,5/22/15 10:12,5/22/15 10:22,1,1,1,113,113,W,H,3,,4,2,2,5,1,3,4,4,2,1,2,3,3,2,2,5,1,5,3,2,5,,1,5,5,2,,,1,46.11540222,-67.91699982,-1
R_1HcLD90uKcAG4wQ,Default Response Set,Anonymous,,,65.18.71.62,0,5/22/15 10:11,5/22/15 10:23,1,1,1,114,114,W,H,3,,4,3,2,1,5,3,2,4,3,1,4,4,3,5,2,5,5,1,1,2,4,5,1,3,2,1,,,1,46.11540222,-67.91699982,-1
R_a9nK5PDh27dO0wx,Default Response Set,Anonymous,,,65.18.69.76,0,5/22/15 10:13,5/22/15 10:23,1,1,1,115,115,W,H,3,,4,2,2,5,1,4,4,4,2,1,4,4,3,5,2,5,2,1,1,2,4,3,1,5,1,1,,,1,46.11540222,-67.91699982,-1
R_33kcx9zN2TJxAtb,Default Response Set,Anonymous,,,65.18.71.161,0,5/22/15 10:13,5/22/15 10:24,1,1,1,116,116,W,H,3,,4,2,1,1,1,3,5,4,3,1,4,4,1,4,2,5,2,1,3,5,4,4,1,1,4,2,,,1,46.11540222,-67.91699982,-1
R_yXbP46Exc14UvIZ,Default Response Set,Anonymous,,,65.18.68.150,0,5/22/15 10:12,5/22/15 10:24,1,1,1,117,117,W,H,3,,4,3,2,5,1,3,2,1,2,2,2,4,2,2,4,3,2,3,2,2,4,3,2,3,2,2,,,1,46.11540222,-67.91699982,-1
R_2AZ6w1xVHiHYSTY,Default Response Set,Anonymous,,,65.18.69.5,0,5/22/15 10:12,5/22/15 10:25,1,1,1,118,118,W,H,3,,4,2,2,5,5,3,4,4,2,1,2,4,5,2,2,5,2,1,1,5,4,5,1,3,3,1,,,1,46.11540222,-67.91699982,-1
R_3CVsbAxrJUD1qmV,Default Response Set,Anonymous,,,65.18.69.70,0,5/22/15 10:11,5/22/15 10:25,1,1,1,119,119,W,H,3,,4,3,2,4,1,3,4,4,3,2,2,4,3,2,3,5,4,1,2,2,5,5,1,4,4,1,,,1,46.11540222,-67.91699982,-1
R_u3xudr1adzajz7r,Default Response Set,Anonymous,,,65.18.70.31,0,5/22/15 10:14,5/22/15 10:27,1,1,1,120,120,W,H,3,,4,2,2,2,1,3,4,1,2,1,2,4,3,5,1,5,2,1,1,2,4,2,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_4NklIIeTWTgeLIJ,Default Response Set,Anonymous,,,65.18.70.160,0,5/22/15 10:10,5/22/15 10:30,1,1,1,121,121,W,H,3,,4,2,2,5,1,3,4,1,2,1,2,4,5,5,4,5,2,1,2,2,4,5,1,5,3,1,,,1,46.11540222,-67.91699982,-1
R_2VQE7st7p78scy0,Default Response Set,Anonymous,,,65.18.71.196,0,5/22/15 10:42,5/22/15 10:46,1,1,1,122,122,W,H,3,,4,2,2,5,5,3,2,4,2,1,2,4,3,2,2,5,4,2,1,2,4,5,1,3,3,2,,,1,46.11540222,-67.91699982,-1
R_RRG9L5ZkcTLMgXD,Default Response Set,Anonymous,,,65.18.69.3,0,5/22/15 10:59,5/22/15 11:08,1,1,1,123,123,W,H,3,,4,2,2,4,1,3,4,4,2,3,2,4,3,2,2,5,1,1,1,2,1,5,1,3,1,2,,,1,46.11540222,-67.91699982,-1
R_2pPLVdwbcClI8Ox,Default Response Set,Anonymous,,,65.18.70.1,0,5/22/15 10:59,5/22/15 11:08,1,1,1,124,124,W,H,3,,4,2,5,5,1,3,4,4,2,1,2,1,3,4,4,5,4,1,1,2,5,5,1,5,2,1,,,1,46.11540222,-67.91699982,-1
R_2BnD8QQAwQqtMxv,Default Response Set,Anonymous,,,65.18.70.2,0,5/22/15 10:59,5/22/15 11:08,1,1,1,125,125,W,H,3,,4,2,1,2,2,3,4,4,2,1,2,4,5,5,2,2,2,3,1,2,4,2,1,3,1,2,,,1,46.11540222,-67.91699982,-1
R_Oqa5gESiM9gxq01,Default Response Set,Anonymous,,,65.18.68.225,0,5/22/15 11:01,5/22/15 11:09,1,1,1,126,126,W,H,3,,4,2,2,4,5,3,4,4,4,2,2,3,5,2,2,5,2,1,1,2,2,5,1,3,3,2,,,1,46.11540222,-67.91699982,-1
R_1CEzx2b789TpCZH,Default Response Set,Anonymous,,,65.18.68.107,0,5/22/15 10:59,5/22/15 11:09,1,1,1,127,127,W,H,3,,4,2,2,1,2,3,2,1,2,1,2,4,1,2,1,5,2,5,1,2,4,3,1,5,1,1,,,1,46.11540222,-67.91699982,-1
R_RVtCYrpHhv9XWjD,Default Response Set,Anonymous,,,65.18.71.141,0,5/22/15 10:59,5/22/15 11:09,1,1,1,128,128,W,H,3,,4,2,4,5,5,3,4,1,2,1,4,4,5,5,4,5,4,1,1,2,5,5,1,5,2,1,,,1,46.11540222,-67.91699982,-1
R_2S2dFPn5VdXdu2s,Default Response Set,Anonymous,,,65.18.70.33,0,5/22/15 10:58,5/22/15 11:09,1,1,1,129,129,W,H,3,,4,2,2,4,,3,2,1,2,1,2,2,3,5,1,5,2,5,3,5,5,2,4,1,1,1,,,1,46.11540222,-67.91699982,-1
R_1ochqmTVRC9cZBs,Default Response Set,Anonymous,,,65.18.70.215,0,5/22/15 10:59,5/22/15 11:09,1,1,1,130,130,W,H,3,,4,2,4,4,1,3,4,1,3,2,3,4,3,2,1,2,1,5,4,1,2,5,1,4,2,1,,,1,46.11540222,-67.91699982,-1
R_2WZhA357NzxXe7n,Default Response Set,Anonymous,,,65.18.68.211,0,5/22/15 11:00,5/22/15 11:10,1,1,1,131,131,W,H,3,,4,2,4,1,1,3,4,1,2,1,2,4,1,2,2,3,1,4,4,2,5,2,4,5,1,2,,,1,46.11540222,-67.91699982,-1
R_T5dbCrS7BxCt9x7,Default Response Set,Anonymous,,,65.18.70.7,0,5/22/15 10:59,5/22/15 11:10,1,1,1,132,132,W,H,3,,4,2,2,5,1,3,5,1,2,1,5,4,3,4,4,5,2,5,1,5,4,3,3,5,5,2,,,1,46.11540222,-67.91699982,-1
R_1gUD0v9CyjApGkL,Default Response Set,Anonymous,,,65.18.69.79,0,5/22/15 10:59,5/22/15 11:10,1,1,1,133,133,W,H,3,,4,3,2,2,1,3,1,4,2,1,5,2,3,2,4,5,3,1,3,2,4,5,4,1,3,1,,,1,46.11540222,-67.91699982,-1
R_3huzIcy998gYo2f,Default Response Set,Anonymous,,,65.18.68.206,0,5/22/15 10:59,5/22/15 11:10,1,1,1,134,134,W,H,3,,4,1,1,4,5,3,4,1,2,1,2,3,3,3,2,5,2,5,1,3,5,5,4,5,2,2,,,1,46.11540222,-67.91699982,-1
R_2XanV1SzNkSKhfo,Default Response Set,Anonymous,,,65.18.69.16,0,5/22/15 11:01,5/22/15 11:11,1,1,1,135,135,W,H,3,,4,3,2,5,5,3,2,4,2,1,2,4,3,5,2,5,1,3,2,4,1,5,1,4,1,1,,,1,46.11540222,-67.91699982,-1
R_24uDnKb0DqxxEGA,Default Response Set,Anonymous,,,65.18.69.60,0,5/22/15 10:59,5/22/15 11:12,1,1,1,136,136,W,H,3,,4,1,4,5,1,5,4,3,3,4,4,4,4,2,5,1,5,1,4,5,5,2,1,5,4,2,,,1,46.11540222,-67.91699982,-1
R_xsZ108v4pge7HzP,Default Response Set,Anonymous,,,65.18.68.107,0,5/22/15 11:09,5/22/15 11:17,1,1,1,137,137,W,H,3,,4,2,2,5,5,3,5,1,2,4,5,4,5,5,1,5,2,1,1,2,4,4,4,5,1,1,,,1,46.11540222,-67.91699982,-1
R_3lYtk5KIKXjKZKS,Default Response Set,Anonymous,,,65.18.68.244,0,5/22/15 12:25,5/22/15 12:29,1,1,1,138,138,W,H,3,,4,2,4,5,1,3,4,2,3,1,3,4,3,2,2,3,2,5,1,5,1,2,1,1,4,1,,,1,46.11540222,-67.91699982,-1
R_3smPWJPcrYczF4d,Default Response Set,Anonymous,,,65.18.71.185,0,5/22/15 12:24,5/22/15 12:31,1,1,1,139,139,W,H,3,,4,2,2,5,4,3,4,4,2,1,4,4,3,5,4,5,2,1,1,2,4,5,1,5,1,2,,,1,46.11540222,-67.91699982,-1
R_1rc4Zk1vSJxnSeO,Default Response Set,Anonymous,,,65.18.69.37,0,5/22/15 12:24,5/22/15 12:32,1,1,1,140,140,W,H,3,,4,2,2,2,1,3,4,4,2,1,5,4,3,5,4,5,3,1,1,2,1,2,1,5,1,2,,,1,46.11540222,-67.91699982,-1
R_1dh4zKhYKEouvVT,Default Response Set,Anonymous,,,65.18.70.4,0,5/22/15 12:24,5/22/15 12:32,1,1,1,141,141,W,H,3,,2,2,4,1,1,3,4,4,3,2,2,3,3,2,3,4,5,3,5,2,1,4,5,3,2,2,,,1,46.11540222,-67.91699982,-1
R_UYAffLkGP4BqpS9,Default Response Set,Anonymous,,,65.18.69.212,0,5/22/15 12:24,5/22/15 12:33,1,1,1,142,142,W,H,3,,4,2,2,5,1,3,2,4,2,5,1,4,3,4,5,5,2,1,1,2,4,5,1,5,2,1,,,1,46.11540222,-67.91699982,-1
R_engKvy3TAVRbPWh,Default Response Set,Anonymous,,,65.18.69.67,0,5/22/15 12:25,5/22/15 12:34,1,1,1,143,143,W,H,3,,4,2,2,1,1,3,2,4,2,2,5,3,5,4,2,1,5,1,2,5,4,5,3,3,2,1,,,1,46.11540222,-67.91699982,-1
R_3Jkf3jMVefKjj6m,Default Response Set,Anonymous,,,65.18.70.38,0,5/22/15 12:26,5/22/15 12:36,1,1,1,144,144,W,H,3,,4,2,5,5,1,4,4,4,2,1,5,4,5,5,2,5,2,1,1,2,4,5,1,5,1,1,,,1,46.11540222,-67.91699982,-1
R_278N1AMEMMf7t8y,Default Response Set,Anonymous,,,65.18.69.43,0,5/22/15 12:27,5/22/15 12:37,1,1,1,145,145,W,W,3,,4,3,1,4,1,3,2,4,3,5,2,4,3,5,4,5,1,1,1,2,4,5,1,1,5,2,,,1,46.11540222,-67.91699982,-1
R_vwXkAoLeWJg8tOh,Default Response Set,Anonymous,,,65.18.68.203,0,5/22/15 12:25,5/22/15 12:37,1,1,1,146,146,W,H,3,,4,2,1,2,1,3,4,4,2,1,2,4,3,2,2,2,2,5,1,5,2,5,1,5,3,1,,,1,46.11540222,-67.91699982,-1
R_26bRrYnmHFWbArY,Default Response Set,Anonymous,,,65.18.70.112,0,5/22/15 12:25,5/22/15 12:37,1,1,1,147,147,W,H,3,,4,2,2,5,2,3,4,4,2,1,2,4,5,5,1,5,4,1,1,2,4,3,1,5,2,2,,,1,46.11540222,-67.91699982,-1
R_2TAZrkO7WgiQevt,Default Response Set,Anonymous,,,65.18.68.169,0,5/22/15 12:25,5/22/15 12:39,1,1,1,148,148,W,H,3,,4,2,2,1,1,3,2,4,2,1,4,4,3,1,2,2,2,5,3,2,4,4,1,3,1,1,,,1,46.11540222,-67.91699982,-1
R_1mP1vs1ZadZvkfB,Default Response Set,Anonymous,,,65.18.70.194,0,5/22/15 12:29,5/22/15 12:39,1,1,1,149,149,W,H,3,,4,2,2,5,1,3,1,2,2,5,4,4,3,2,2,5,2,1,2,2,4,5,1,4,5,2,,,1,46.11540222,-67.91699982,-1
R_1jqx2yKknGP7BtZ,Default Response Set,Anonymous,,,65.18.69.36,0,5/22/15 12:25,5/22/15 12:40,1,1,1,150,150,W,H,3,,4,2,5,5,4,3,4,5,2,5,4,4,5,5,2,5,3,1,1,2,4,5,1,5,1,1,,,1,46.11540222,-67.91699982,-1
